0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
5047920109,4,1,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1
5047920104,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047920103,4,1,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1
5047920102,4,1,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1
5047920101,4,1,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1
5047920093,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047920092,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047920090,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047920084,4,1,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1
5047920083,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047920082,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047920078,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1,1,1
5047920076,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047920073,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047920072,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047920071,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047920069,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047920068,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047920066,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047920063,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047920061,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047920058,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047920054,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047920051,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047920049,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047920048,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047920045,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047920044,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047920043,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1
5047920041,4,1,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1
5047920039,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1
5047920037,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047920035,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1
5047920034,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1
5047920033,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1
5047920032,4,1,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1
5047920029,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047920028,4,1,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1
